gas,level,pct,ppm,tlv_pct,tlv_ppm,over_tlv,severity,ppm_noisy
CO,L1,0.00026,2.6,0.005,50.0,0,0,10.070287683957382
CO,L1,0.00069,6.9,0.005,50.0,0,0,15.15355024125391
CO,L1,0.00101,10.1,0.005,50.0,0,0,22.83649178122063
CO,L1,0.00183,18.3,0.005,50.0,0,0,20.34319046869588
CO,L1,0.00212,21.2,0.005,50.0,0,0,30.796534917338228
CO,L1,0.00036,3.6,0.005,50.0,0,0,10.685379985416912
CO,L1,0.00054,5.4,0.005,50.0,0,0,7.844656342743496
CO,L1,0.00149,14.9,0.005,50.0,0,0,19.81910437357817
CO,L1,0.00102,10.2,0.005,50.0,0,0,17.15300324381575
CO,L1,0.00219,21.9,0.005,50.0,0,0,32.985502095227226
CO,L1,0.00103,10.3,0.005,50.0,0,0,16.593469440949043
CO,L1,0.00206,20.6,0.005,50.0,0,0,31.832404905638345
CO,L1,0.0031,31.0,0.005,50.0,0,0,38.15596180184593
CO,L1,0.00226,22.6,0.005,50.0,0,0,28.95962374817338
CO,L1,0.00261,26.1,0.005,50.0,0,0,29.66616639009143
CO,L1,0.00103,10.3,0.005,50.0,0,0,14.594299734336166
CO,L1,0.00031,3.1,0.005,50.0,0,0,14.969391661559932
CO,L1,0.00341,34.1,0.005,50.0,0,0,41.049536033765335
CO,L1,0.00153,15.3,0.005,50.0,0,0,18.08416405295312
CO,L1,0.00084,8.4,0.005,50.0,0,0,17.071303649322097
CO,L1,0.00022,2.2,0.005,50.0,0,0,7.082484061277388
CO,L1,0.00071,7.1000000000000005,0.005,50.0,0,0,19.59411565158472
CO,L1,0.00147,14.7,0.005,50.0,0,0,20.798274357927312
CO,L1,0.00227,22.7,0.005,50.0,0,0,29.35065293142213
CO,L1,0.00113,11.3,0.005,50.0,0,0,13.710099528683005
CO,L1,0.00088,8.8,0.005,50.0,0,0,19.579252008434203
CO,L1,0.00294,29.4,0.005,50.0,0,0,40.80783245617232
CO,L1,0.00257,25.7,0.005,50.0,0,0,38.148352487318895
CO,L1,0.00078,7.8,0.005,50.0,0,0,19.62595710996383
CO,L1,0.00312,31.2,0.005,50.0,0,0,40.93549921302283
CO,L1,0.00301,30.1,0.005,50.0,0,0,32.11441388536038
CO,L1,0.00226,22.6,0.005,50.0,0,0,32.40739304266442
CO,L1,0.00202,20.2,0.005,50.0,0,0,29.245938279197205
CO,L1,0.00235,23.5,0.005,50.0,0,0,27.503280292138477
CO,L1,0.00365,36.5,0.005,50.0,0,0,40.68850901331933
CO,L1,0.00254,25.4,0.005,50.0,0,0,31.14307922610322
CO,L1,0.00079,7.9,0.005,50.0,0,0,12.91937932449988
CO,L1,0.00232,23.2,0.005,50.0,0,0,30.6639913000009
CO,L1,0.00199,19.9,0.005,50.0,0,0,26.61326764604992
CO,L1,0.00198,19.8,0.005,50.0,0,0,26.24424408547984
CO,L1,0.00328,32.8,0.005,50.0,0,0,34.52577343630413
CO,L1,0.0003,3.0,0.005,50.0,0,0,9.220565902696976
