gas,level,pct,ppm,tlv_pct,tlv_ppm,over_tlv,severity,ppm_noisy
CO2,L1,0.02,200.0,0.03,300.0,0,0,204.55742202714737
CO2,L1,0.01,100.0,0.03,300.0,0,0,98.51429708000022
CO2,L1,0.02,200.0,0.03,300.0,0,0,208.7694552767605
CO2,L1,0.03,300.0,0.03,300.0,0,0,298.1800759004055
CO2,L1,0.0,0.0,0.03,300.0,0,0,9.6
CO2,L1,0.03,300.0,0.03,300.0,0,0,295.6990669820763
CO2,L1,0.04,400.0,0.03,300.0,1,0,391.7908406820446
CO2,L1,0.03,300.0,0.03,300.0,0,0,294.2637390479592
CO2,L1,0.0,0.0,0.03,300.0,0,0,0.038
CO2,L1,0.0,0.0,0.03,300.0,0,0,4.12
CO2,L1,0.03,300.0,0.03,300.0,0,0,312.18479103788707
CO2,L1,0.04,400.0,0.03,300.0,1,0,414.250782422201
CO2,L1,0.02,200.0,0.03,300.0,0,0,207.4023604316236
CO2,L1,0.03,300.0,0.03,300.0,0,0,293.90283151001444
CO2,L1,0.04,400.0,0.03,300.0,1,0,415.6099590242392
CO2,L1,0.01,100.0,0.03,300.0,0,0,99.74438564922256
CO2,L1,0.03,300.0,0.03,300.0,0,0,318.8366369941499
CO2,L1,0.0,0.0,0.03,300.0,0,0,0.0383
CO2,L1,0.02,200.0,0.03,300.0,0,0,205.25839418359857
CO2,L1,0.0,0.0,0.03,300.0,0,0,0.0378
CO2,L1,0.03,300.0,0.03,300.0,0,0,294.7896616007053
CO2,L1,0.0,0.0,0.03,300.0,0,0,1.35
CO2,L1,0.04,400.0,0.03,300.0,1,0,395.4458376763711
CO2,L1,0.03,300.0,0.03,300.0,0,0,303.3426896936302
CO2,L1,0.03,300.0,0.03,300.0,0,0,294.8087957444375
CO2,L1,0.01,100.0,0.03,300.0,0,0,101.13189121619796
CO2,L1,0.01,100.0,0.03,300.0,0,0,113.48933642157536
CO2,L1,0.01,100.0,0.03,300.0,0,0,105.30164809136387
CO2,L1,0.01,100.0,0.03,300.0,0,0,106.44441921821053
CO2,L1,0.04,400.0,0.03,300.0,1,0,405.4098639389932
CO2,L1,0.02,200.0,0.03,300.0,0,0,201.09132571729643
CO2,L1,0.01,100.0,0.03,300.0,0,0,109.66194792911531
CO2,L1,0.02,200.0,0.03,300.0,0,0,203.34895824477096
CO2,L1,0.01,100.0,0.03,300.0,0,0,102.46755789362992
CO2,L1,0.03,300.0,0.03,300.0,0,0,298.871454961125
CO2,L1,0.0,0.0,0.03,300.0,0,0,0.0209
CO2,L1,0.02,200.0,0.03,300.0,0,0,195.13521167259708
CO2,L1,0.04,400.0,0.03,300.0,1,0,405.48387463576375
CO2,L1,0.01,100.0,0.03,300.0,0,0,99.5097459337386
CO2,L1,0.0,0.0,0.03,300.0,0,0,0.0068
CO2,L1,0.04,400.0,0.03,300.0,1,0,408.3624286737571
CO2,L1,0.0,0.0,0.03,300.0,0,0,0.0097
CO2,L1,0.01,100.0,0.03,300.0,0,0,105.98360252148012
CO2,L1,0.0,0.0,0.03,300.0,0,0,5.78
CO2,L1,0.02,200.0,0.03,300.0,0,0,203.19367408550903
CO2,L1,0.02,200.0,0.03,300.0,0,0,195.26804005780667
CO2,L1,0.01,100.0,0.03,300.0,0,0,103.37403534647552
CO2,L1,0.04,400.0,0.03,300.0,1,0,421.59815452136434
CO2,L1,0.02,200.0,0.03,300.0,0,0,212.62447195852184
CO2,L1,0.02,200.0,0.03,300.0,0,0,201.0375448987982
CO2,L1,0.04,400.0,0.03,300.0,1,0,402.0239782594101
CO2,L1,0.03,300.0,0.03,300.0,0,0,300.65196018260923
CO2,L1,0.04,400.0,0.03,300.0,1,0,420.32106406747766
CO2,L1,0.04,400.0,0.03,300.0,1,0,406.3050350632783
CO2,L1,0.02,200.0,0.03,300.0,0,0,196.9889434327069
CO2,L1,0.0,0.0,0.03,300.0,0,0,0.035
CO2,L1,0.02,200.0,0.03,300.0,0,0,205.3041413639459
CO2,L1,0.02,200.0,0.03,300.0,0,0,203.1261404162278
CO2,L1,0.04,400.0,0.03,300.0,1,0,407.930364877831
CO2,L1,0.01,100.0,0.03,300.0,0,0,99.84809748197084
CO2,L1,0.02,200.0,0.03,300.0,0,0,209.25930656021143
CO2,L1,0.01,100.0,0.03,300.0,0,0,99.8717666320735
CO2,L1,0.01,100.0,0.03,300.0,0,0,109.52006659175152
CO2,L1,0.03,300.0,0.03,300.0,0,0,304.9991821845001
CO2,L1,0.04,400.0,0.03,300.0,1,0,403.4803863195928
CO2,L1,0.03,300.0,0.03,300.0,0,0,313.33219941718
CO2,L1,0.03,300.0,0.03,300.0,0,0,299.1048529151218
CO2,L1,0.0,0.0,0.03,300.0,0,0,9.21
CO2,L1,0.0,0.0,0.03,300.0,0,0,0.0187
CO2,L1,0.01,100.0,0.03,300.0,0,0,101.42466631438504
CO2,L1,0.03,300.0,0.03,300.0,0,0,318.974083860524
CO2,L1,0.0,0.0,0.03,300.0,0,0,0.05
CO2,L1,0.04,400.0,0.03,300.0,1,0,397.7064302265838
CO2,L1,0.03,300.0,0.03,300.0,0,0,304.0666670342752
CO2,L1,0.04,400.0,0.03,300.0,1,0,409.3008051265528
CO2,L1,0.01,100.0,0.03,300.0,0,0,100.56190195947528
CO2,L1,0.0,0.0,0.03,300.0,0,0,0.0464999999999999
CO2,L1,0.04,400.0,0.03,300.0,1,0,418.42180348654216
CO2,L1,0.03,300.0,0.03,300.0,0,0,295.6279014823059
