gas,level,pct,ppm,tlv_pct,tlv_ppm,over_tlv,severity,ppm_noisy
CH4,L1,0.93,9300.0,2.5,25000.0,0,0,9605.7310166489
CH4,L1,1.22,12200.0,2.5,25000.0,0,0,12188.106153730318
CH4,L1,0.85,8500.0,2.5,25000.0,0,0,8950.017826017342
CH4,L1,0.21,2100.0,2.5,25000.0,0,0,2280.515844804683
CH4,L1,0.59,5900.0,2.5,25000.0,0,0,5993.805061794393
CH4,L1,0.46,4600.0,2.5,25000.0,0,0,4674.364679618549
CH4,L1,1.07,10700.0,2.5,25000.0,0,0,10810.918147347646
CH4,L1,0.67,6700.0,2.5,25000.0,0,0,6847.2885997404255
CH4,L1,0.48,4800.0,2.5,25000.0,0,0,4985.420170894888
CH4,L1,1.11,11100.000000000002,2.5,25000.0,0,0,11287.62430467821
CH4,L1,1.06,10600.0,2.5,25000.0,0,0,10806.037794029487
CH4,L1,1.08,10800.0,2.5,25000.0,0,0,11260.157835326178
CH4,L1,0.6,6000.0,2.5,25000.0,0,0,6180.882726228269
CH4,L1,0.53,5300.0,2.5,25000.0,0,0,5653.656740724334
CH4,L1,0.63,6300.0,2.5,25000.0,0,0,6397.719668008894
CH4,L1,0.93,9300.0,2.5,25000.0,0,0,9329.544468833805
CH4,L1,0.08,800.0,2.5,25000.0,0,0,1098.7188747765174
CH4,L1,0.94,9400.0,2.5,25000.0,0,0,9474.136205467705
CH4,L1,0.35,3500.0,2.5,25000.0,0,0,3615.2614525372887
CH4,L1,0.1,1000.0,2.5,25000.0,0,0,1213.2275342651403
CH4,L1,1.14,11399.999999999998,2.5,25000.0,0,0,11529.826038682108
CH4,L1,0.18,1800.0,2.5,25000.0,0,0,2043.720186847687
CH4,L1,0.07,700.0000000000001,2.5,25000.0,0,0,810.6438596625544
CH4,L1,0.78,7800.0,2.5,25000.0,0,0,8056.435019739863
CH4,L1,1.06,10600.0,2.5,25000.0,0,0,10616.374999606269
CH4,L1,0.06,600.0,2.5,25000.0,0,0,849.2963340473576
CH4,L1,0.03,300.0,2.5,25000.0,0,0,685.1255219250424
CH4,L1,0.56,5600.000000000001,2.5,25000.0,0,0,5998.115992332475
CH4,L1,0.59,5900.0,2.5,25000.0,0,0,6329.32464970833
CH4,L1,0.57,5699.999999999999,2.5,25000.0,0,0,6149.663431827028
CH4,L1,1.16,11600.0,2.5,25000.0,0,0,12304.566586273611
CH4,L1,1.07,10700.0,2.5,25000.0,0,0,11041.729937152162
CH4,L1,0.51,5100.0,2.5,25000.0,0,0,5276.744405627675
CH4,L1,0.96,9600.0,2.5,25000.0,0,0,9551.010746085129
CH4,L1,0.2,2000.0,2.5,25000.0,0,0,2202.0401525440857
CH4,L1,0.04,400.0,2.5,25000.0,0,0,432.6851338467084
CH4,L1,0.14,1400.0000000000002,2.5,25000.0,0,0,1509.3053185023423
CH4,L1,0.02,200.0,2.5,25000.0,0,0,278.4120127199873
CH4,L1,0.46,4600.0,2.5,25000.0,0,0,4716.578574100847
CH4,L1,0.48,4800.0,2.5,25000.0,0,0,4970.102654346691
CH4,L1,0.65,6500.0,2.5,25000.0,0,0,6733.320049568763
CH4,L1,0.33,3300.0,2.5,25000.0,0,0,3460.3267064553
CH4,L1,1.18,11800.0,2.5,25000.0,0,0,12057.845486767146
CH4,L1,1.18,11800.0,2.5,25000.0,0,0,12305.898438224338
CH4,L1,0.39,3900.0,2.5,25000.0,0,0,4133.780887333415
CH4,L1,0.17,1700.0000000000002,2.5,25000.0,0,0,1967.064918406846
CH4,L1,0.34,3400.0000000000005,2.5,25000.0,0,0,3800.0265409087992
CH4,L1,0.1,1000.0,2.5,25000.0,0,0,1096.7458046004936
CH4,L1,0.66,6600.0,2.5,25000.0,0,0,7153.413432647089
CH4,L1,0.47,4700.0,2.5,25000.0,0,0,5006.950757286466
CH4,L1,1.14,11399.999999999998,2.5,25000.0,0,0,11806.497060156566
CH4,L1,0.53,5300.0,2.5,25000.0,0,0,5628.812515830055
CH4,L1,1.2,12000.0,2.5,25000.0,0,0,12140.947774037477
CH4,L1,0.3,3000.0,2.5,25000.0,0,0,3092.476165668179
CH4,L1,0.88,8800.0,2.5,25000.0,0,0,8860.551271221977
CH4,L1,0.76,7600.0,2.5,25000.0,0,0,7770.5676681996
CH4,L1,0.59,5900.0,2.5,25000.0,0,0,6013.226507058769
CH4,L1,0.98,9800.0,2.5,25000.0,0,0,10481.292375861714
CH4,L1,1.1,11000.0,2.5,25000.0,0,0,11171.832453322748
CH4,L1,0.04,400.0,2.5,25000.0,0,0,553.9639151163547
CH4,L1,0.83,8300.0,2.5,25000.0,0,0,8155.643848841743
CH4,L1,0.04,400.0,2.5,25000.0,0,0,733.5264308722082
CH4,L1,0.74,7400.0,2.5,25000.0,0,0,7842.530065909316
CH4,L1,0.0,0.0,2.5,25000.0,0,0,170.0
CH4,L1,1.14,11399.999999999998,2.5,25000.0,0,0,11984.434457572048
CH4,L1,1.03,10300.0,2.5,25000.0,0,0,10930.049804530274
CH4,L1,0.41,4100.0,2.5,25000.0,0,0,4321.491142222008
CH4,L1,0.49,4900.0,2.5,25000.0,0,0,5200.082722437345
CH4,L1,1.07,10700.0,2.5,25000.0,0,0,11098.301037345604
CH4,L1,0.28,2800.0000000000005,2.5,25000.0,0,0,2960.0375546211194
CH4,L1,0.81,8100.000000000001,2.5,25000.0,0,0,8400.220210157437
CH4,L1,0.67,6700.0,2.5,25000.0,0,0,6902.096446080785
CH4,L1,0.19,1900.0,2.5,25000.0,0,0,2160.6693942818265
CH4,L1,0.05,500.0,2.5,25000.0,0,0,674.8007798887824
CH4,L1,1.07,10700.0,2.5,25000.0,0,0,11271.81633104346
CH4,L1,1.19,11900.0,2.5,25000.0,0,0,12324.907483392915
CH4,L1,0.94,9400.0,2.5,25000.0,0,0,9727.87292317702
CH4,L1,0.3,3000.0,2.5,25000.0,0,0,3181.308225615091
CH4,L1,1.07,10700.0,2.5,25000.0,0,0,11140.874440706131
CH4,L1,0.51,5100.0,2.5,25000.0,0,0,5525.874221944014
CH4,L1,0.76,7600.0,2.5,25000.0,0,0,7975.179341522063
CH4,L1,0.55,5500.0,2.5,25000.0,0,0,5765.868232329363
CH4,L1,1.14,11399.999999999998,2.5,25000.0,0,0,11909.025748404743
CH4,L1,0.6,6000.0,2.5,25000.0,0,0,6208.2071933417055
CH4,L1,0.82,8200.0,2.5,25000.0,0,0,8515.530565304758
CH4,L1,0.79,7900.0,2.5,25000.0,0,0,8341.434616858929
CH4,L1,0.39,3900.0,2.5,25000.0,0,0,4053.421242003791
CH4,L1,0.95,9500.0,2.5,25000.0,0,0,9975.427128384685
CH4,L1,1.22,12200.0,2.5,25000.0,0,0,12607.746223472954
CH4,L1,1.03,10300.0,2.5,25000.0,0,0,11020.813619118142
CH4,L1,0.44,4400.0,2.5,25000.0,0,0,4897.039024296264
CH4,L1,0.81,8100.000000000001,2.5,25000.0,0,0,8312.940383972571
CH4,L1,0.68,6800.000000000001,2.5,25000.0,0,0,7029.208443922467
CH4,L1,0.83,8300.0,2.5,25000.0,0,0,8683.660757896097
CH4,L1,0.7,7000.0,2.5,25000.0,0,0,7163.998525983856
CH4,L1,0.95,9500.0,2.5,25000.0,0,0,9708.372784239318
CH4,L1,0.52,5200.0,2.5,25000.0,0,0,5411.392014748696
CH4,L1,1.03,10300.0,2.5,25000.0,0,0,10564.53917485801
CH4,L1,0.37,3700.0,2.5,25000.0,0,0,4056.2555609163896
CH4,L1,0.21,2100.0,2.5,25000.0,0,0,2365.948831270143
CH4,L1,0.83,8300.0,2.5,25000.0,0,0,8493.23509234843
CH4,L1,0.28,2800.0000000000005,2.5,25000.0,0,0,3159.2366141081347
CH4,L1,0.59,5900.0,2.5,25000.0,0,0,6205.002890558253
CH4,L1,1.23,12300.0,2.5,25000.0,0,0,12969.960880299035
CH4,L1,0.4,4000.0,2.5,25000.0,0,0,4292.733859889343
CH4,L1,0.89,8900.0,2.5,25000.0,0,0,9488.346648322222
CH4,L1,0.17,1700.0000000000002,2.5,25000.0,0,0,1923.959606179088
CH4,L1,1.15,11500.0,2.5,25000.0,0,0,12100.507114959411
CH4,L1,0.29,2900.0,2.5,25000.0,0,0,3311.3889995247514
CH4,L1,0.42,4200.0,2.5,25000.0,0,0,4429.467786574052
CH4,L1,1.08,10800.0,2.5,25000.0,0,0,11295.500486704968
CH4,L1,0.64,6400.0,2.5,25000.0,0,0,6676.097865605236
CH4,L1,0.0,0.0,2.5,25000.0,0,0,230.0
CH4,L1,0.49,4900.0,2.5,25000.0,0,0,5147.354126652823
CH4,L1,0.96,9600.0,2.5,25000.0,0,0,9936.83588717189
